ClientIP,Country,Provinces,ISP
171.228.0.213,Vietnam,Yen Bai,Viettel Group
183.80.60.211,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.114.35.215,Vietnam,Uong Bi,FPT Telecom Company
42.113.194.134,Vietnam,Hai Duong,FPT Telecom Company
1.52.46.26,Vietnam,Bien Hoa,FPT Telecom Company
103.7.39.156,Vietnam,Ho Chi Minh City,Vietnamobile Telecommunications Joint Stock Company
183.80.67.87,Vietnam,My Tho,FPT Telecom Company
64.233.173.18,Japan,Tokyo,Google LLC
123.26.155.206,Vietnam,Lang Son,Vietnam Posts and Telecommunications Group
103.199.32.21,Vietnam,Phan Thiet,MOBIFONE Corporation
1.55.161.141,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.114.16.58,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.55.223.176,Vietnam,Vinh Yen,FPT Telecom Company
118.68.114.112,Vietnam,Phan Thiet,FPT Telecom Company
123.18.71.127,Vietnam,Lai Chau,Vietnam Posts and Telecommunications Group
42.113.195.81,Vietnam,Hai Duong,FPT Telecom Company
171.235.153.125,Vietnam,Thuan An,Viettel Group
103.199.32.175,Vietnam,Phan Thiet,MOBIFONE Corporation
118.68.230.149,Vietnam,Thanh Hoa,FPT Telecom Company
42.113.130.86,Vietnam,Hanoi,FPT Telecom Company
113.189.220.187,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
1.54.214.10,Vietnam,Thai Nguyen,FPT Telecom Company
125.214.50.35,Vietnam,Sa Dec,Viettel Group
14.243.203.178,Vietnam,Tuy Hoa,Vietnam Posts and Telecommunications Group
42.114.36.208,Vietnam,Hanoi,FPT Telecom Company
1.54.161.223,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.232.49.131,Vietnam,Son Tay,Vietnam Posts and Telecommunications Group
118.68.5.76,Vietnam,Da Nang,FPT Telecom Company
171.233.153.42,Vietnam,Ho Chi Minh City,Viettel Group
1.52.125.29,Vietnam,Thanh Hoa,FPT Telecom Company
42.113.155.47,Vietnam,Hanoi,FPT Telecom Company
1.54.139.95,Vietnam,Hanoi,FPT Telecom Company
14.239.66.50,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
66.249.82.144,Australia,Sydney,Google LLC
58.187.221.89,Vietnam,Hanoi,FPT Telecom Company
42.117.219.35,Vietnam,Hanoi,FPT Telecom Company
23.127.212.17,United States,Greensboro,AT&T Corp.
123.18.241.122,Vietnam,Thai Binh,Vietnam Posts and Telecommunications Group
14.248.72.232,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.112.80.195,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.52.39.242,Vietnam,Qui Nhon,FPT Telecom Company
42.114.36.175,Vietnam,Hanoi,FPT Telecom Company
14.247.136.241,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
42.117.219.43,Vietnam,Hanoi,FPT Telecom Company
14.229.181.235,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
27.79.95.216,Vietnam,B'rong,Viettel Group
113.22.53.249,Vietnam,Haiphong,FPT Telecom Company
103.216.193.71,Singapore,Singapore,"Joyent, Inc."
66.249.93.85,United States,Mountain View,Google LLC
42.118.228.148,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.186.31.200,Vietnam,Son La,Vietnam Posts and Telecommunications Group
14.166.108.51,Vietnam,Tu Son,Vietnam Posts and Telecommunications Group
14.231.201.72,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.114.34.173,Vietnam,Haiphong,FPT Telecom Company
1.54.208.127,Vietnam,Hanoi,FPT Telecom Company
113.22.53.129,Vietnam,Haiphong,FPT Telecom Company
54.202.225.77,United States,Portland,Amazon.com
14.170.111.66,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
42.113.192.167,Vietnam,Hai Duong,FPT Telecom Company
183.80.32.119,Vietnam,Hai An,FPT Telecom Company
58.187.173.221,Vietnam,Ho Chi Minh City,FPT Telecom Company
117.2.130.214,Vietnam,Da Nang,Viettel Group
1.55.216.103,Vietnam,Bac Ninh,FPT Telecom Company
14.169.52.139,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
14.251.19.141,Vietnam,Son La,Vietnam Posts and Telecommunications Group
117.2.128.165,Vietnam,Da Nang,Viettel Group
171.255.151.181,Vietnam,Buon Ma Thuot,Viettel Group
42.112.230.11,Vietnam,Ho Chi Minh City,FPT Telecom Company
103.199.32.94,Vietnam,Phan Thiet,MOBIFONE Corporation
58.187.97.112,Vietnam,Thu Dau Mot,FPT Telecom Company
14.244.39.220,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
42.118.50.134,Vietnam,Bac Giang,FPT Telecom Company
27.66.110.12,Vietnam,Gia Nghia,Viettel Group
1.55.116.0,Vietnam,Ho Chi Minh City,FPT Telecom Company
58.187.161.58,Vietnam,Hai Duong,FPT Telecom Company
115.75.160.227,Vietnam,Phu Quoc Island,Viettel Group
1.55.216.125,Vietnam,Bac Ninh,FPT Telecom Company
123.18.159.35,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
24.151.88.9,United States,New Hartford,Charter Communications
113.167.16.207,Vietnam,Bac Giang,Vietnam Posts and Telecommunications Group
14.228.64.68,Vietnam,Bac Giang,Vietnam Posts and Telecommunications Group
113.22.189.191,Vietnam,Quang Ngai,FPT Telecom Company
1.55.208.18,Vietnam,Hanoi,FPT Telecom Company
1.53.145.112,Vietnam,Bien Hoa,FPT Telecom Company
42.112.248.157,Vietnam,Hanoi,FPT Telecom Company
1.53.165.48,Vietnam,Bien Hoa,FPT Telecom Company
58.186.223.65,Vietnam,Bac Giang,FPT Telecom Company
14.247.8.67,Vietnam,Hai Duong,Vietnam Posts and Telecommunications Group
42.113.158.39,Vietnam,Hai Duong,FPT Telecom Company
58.186.223.69,Vietnam,Bac Giang,FPT Telecom Company
116.97.2.88,Vietnam,Ha Long,Viettel Group
14.244.192.236,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
14.230.114.69,Vietnam,Bac Lieu,Vietnam Posts and Telecommunications Group
42.118.93.130,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.52.9.81,Vietnam,Hanoi,FPT Telecom Company
1.54.143.168,Vietnam,Hanoi,FPT Telecom Company
42.116.190.150,Vietnam,Ho Chi Minh City,FPT Telecom Company
66.249.82.169,Australia,Sydney,Google LLC
58.187.166.195,Vietnam,Uong Bi,FPT Telecom Company
14.188.149.211,Vietnam,Bim Son,Vietnam Posts and Telecommunications Group
58.187.163.197,Vietnam,Bac Ninh,FPT Telecom Company
123.17.93.246,Vietnam,Cao Bang,Vietnam Posts and Telecommunications Group
183.81.75.159,Vietnam,Thai Binh,FPT Telecom Company
113.179.215.45,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
42.112.91.98,Vietnam,Ben Tre,FPT Telecom Company
42.118.236.78,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.168.235.208,Vietnam,Tuyen Quang,Vietnam Posts and Telecommunications Group
118.69.72.63,Vietnam,Bien Hoa,FPT Telecom Company
42.119.147.200,Vietnam,Long Xuyen,FPT Telecom Company
66.249.82.167,Australia,Sydney,Google LLC
58.187.22.138,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.54.139.91,Vietnam,Hanoi,FPT Telecom Company
66.249.82.145,Australia,Sydney,Google LLC
14.189.170.185,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
1.55.49.62,Vietnam,Ho Chi Minh City,FPT Telecom Company
115.75.190.51,Vietnam,Ben Dinh,Viettel Group
42.112.248.115,Vietnam,Hanoi,FPT Telecom Company
59.153.244.213,Vietnam,Nha Trang,MOBIFONE Corporation
42.112.142.169,Vietnam,Bien Hoa,FPT Telecom Company
42.112.248.126,Vietnam,Hanoi,FPT Telecom Company
14.240.182.24,Vietnam,Phan Rang-Thap Cham,Vietnam Posts and Telecommunications Group
58.187.161.66,Vietnam,Hai Duong,FPT Telecom Company
1.54.209.235,Vietnam,Hanoi,FPT Telecom Company
118.70.54.14,Vietnam,Dien Bien Phu,FPT Telecom Company
100.104.58.209,"","",""
42.114.23.229,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.113.193.151,Vietnam,Hoa Binh,FPT Telecom Company
178.204.144.254,Russia,Kazan',Kazan Broad-band access pools
116.102.98.105,Vietnam,Hanoi,Viettel Group
42.114.36.178,Vietnam,Hanoi,FPT Telecom Company
188.166.218.246,Singapore,Singapore,NTT America
118.68.5.108,Vietnam,Da Nang,FPT Telecom Company
27.69.2.187,Vietnam,Dien Bien Phu,Viettel Group
42.113.47.27,Vietnam,Yen Bai,FPT Telecom Company
42.113.156.144,Vietnam,Hoa Binh,FPT Telecom Company
116.110.166.182,Vietnam,Tam Ky,Viettel Group
14.188.77.164,Vietnam,Tuyen Quang,Vietnam Posts and Telecommunications Group
42.118.79.69,Vietnam,Bien Hoa,FPT Telecom Company
14.166.103.112,Vietnam,Bac Ninh,Vietnam Posts and Telecommunications Group
14.231.180.214,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
59.153.243.166,Vietnam,Vinh,MOBIFONE Corporation
1.55.216.90,Vietnam,Bac Ninh,FPT Telecom Company
171.243.217.124,Vietnam,Tam Ky,Viettel Group
14.239.193.215,Vietnam,Hung Yen,Vietnam Posts and Telecommunications Group
115.74.35.231,Vietnam,Ho Chi Minh City,Viettel Group
14.190.198.91,Vietnam,Ha Tinh,Vietnam Posts and Telecommunications Group
42.112.167.121,Vietnam,Bac Ninh,FPT Telecom Company
125.212.181.56,Vietnam,Yen Bai,Viettel Group
123.24.91.168,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.114.33.212,Vietnam,Nam Dinh,FPT Telecom Company
42.113.167.140,Vietnam,Tra Vinh,FPT Telecom Company
42.118.191.152,Vietnam,Hanoi,FPT Telecom Company
40.77.189.213,United States,Chicago,Microsoft Corporation
42.113.196.141,Vietnam,Uong Bi,FPT Telecom Company
115.74.137.49,Vietnam,Long Xuyen,Viettel Group
113.161.206.14,Vietnam,Can Tho,Vietnam Posts and Telecommunications Group
113.174.34.155,Vietnam,Bien Hoa,Vietnam Posts and Telecommunications Group
149.28.129.168,Singapore,Singapore,"Choopa, LLC"
118.68.71.227,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.112.248.249,Vietnam,Hanoi,FPT Telecom Company
14.181.72.18,Vietnam,Tuyen Quang,Vietnam Posts and Telecommunications Group
113.23.91.91,Vietnam,Hoa Binh,FPT Telecom Company
59.153.242.223,Vietnam,Vinh,MOBIFONE Corporation
118.69.93.115,Vietnam,Ca Mau,FPT Telecom Company
42.113.195.142,Vietnam,Hai Duong,FPT Telecom Company
117.2.126.231,Vietnam,Da Nang,Viettel Group
42.113.192.47,Vietnam,Hai Duong,FPT Telecom Company
42.114.39.119,Vietnam,Nam Dinh,FPT Telecom Company
113.23.51.80,Vietnam,Thai Binh,FPT Telecom Company
42.113.197.222,Vietnam,Uong Bi,FPT Telecom Company
1.52.236.181,Vietnam,Ho Chi Minh City,FPT Telecom Company
125.212.181.125,Vietnam,Yen Bai,Viettel Group
27.67.128.182,Vietnam,Vinh Yen,Viettel Group
14.188.28.37,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
58.186.22.200,Vietnam,Thu Dau Mot,FPT Telecom Company
113.22.160.131,Vietnam,Ho Chi Minh City,FPT Telecom Company
103.7.36.27,Vietnam,Hanoi,Vietnamobile Telecommunications Joint Stock Company
14.165.53.239,Vietnam,Da Nang,Vietnam Posts and Telecommunications Group
42.114.30.57,Vietnam,Haiphong,FPT Telecom Company
113.23.64.213,Vietnam,Haiphong,FPT Telecom Company
1.55.142.218,Vietnam,Viet Tri,FPT Telecom Company
98.26.121.23,United States,Raleigh,Charter Communications
14.250.7.218,Vietnam,Da Nang,Vietnam Posts and Telecommunications Group
180.93.12.196,Vietnam,Hanoi,Saigon Postel Corporation
14.170.51.99,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
1.52.120.133,Vietnam,Tu Son,FPT Telecom Company
42.114.22.159,Vietnam,Thu Dau Mot,FPT Telecom Company
14.232.27.233,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.112.165.247,Vietnam,Hanoi,FPT Telecom Company
103.199.32.91,Vietnam,Phan Thiet,MOBIFONE Corporation
118.70.182.57,Vietnam,Hanoi,FPT Telecom Company
66.249.82.151,Australia,Sydney,Google LLC
113.190.0.190,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
58.187.61.232,Vietnam,Hanoi,FPT Telecom Company
1.52.124.11,Vietnam,Thanh Hoa,FPT Telecom Company
171.250.0.22,Vietnam,Phuoc An,Viettel Group
42.119.43.172,Vietnam,Bac Giang,FPT Telecom Company
58.187.67.244,Vietnam,Vinh Yen,FPT Telecom Company
171.242.104.195,Vietnam,Hanoi,Viettel Group
1.55.193.234,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.174.162.219,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
116.108.78.19,Vietnam,Hanoi,Viettel Group
113.181.235.79,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
103.199.57.28,Vietnam,Hanoi,MOBIFONE Corporation
42.112.82.132,Vietnam,Long Xuyen,FPT Telecom Company
144.132.135.211,Australia,Sydney,Telstra Internet
42.117.202.248,Vietnam,Cao Lanh,FPT Telecom Company
14.172.88.57,Vietnam,Phu Quoc Island,Vietnam Posts and Telecommunications Group
42.112.56.164,Vietnam,Ho Chi Minh City,FPT Telecom Company
118.71.198.12,Vietnam,Thanh Hoa,FPT Telecom Company
123.16.147.190,Vietnam,Son Tay,Vietnam Posts and Telecommunications Group
42.119.243.182,Vietnam,Ho Chi Minh City,FPT Telecom Company
118.70.41.237,Vietnam,Thanh Hoa,FPT Telecom Company
118.71.5.195,Vietnam,Hanoi,FPT Telecom Company
42.113.104.133,Vietnam,Son Tay,FPT Telecom Company
42.114.141.205,Vietnam,Hanoi,FPT Telecom Company
42.114.18.212,Vietnam,Ho Chi Minh City,FPT Telecom Company
171.240.184.214,Vietnam,Thu Dau Mot,Viettel Group
113.173.161.179,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
14.189.178.238,Vietnam,Song Cong,Vietnam Posts and Telecommunications Group
113.185.14.149,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
123.24.72.244,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.113.157.155,Vietnam,Hanoi,FPT Telecom Company
116.111.50.175,Vietnam,Bac Ninh,Viettel Group
116.102.156.217,Vietnam,Ho Chi Minh City,Viettel Group
118.68.192.64,Vietnam,Hanoi,FPT Telecom Company
42.112.230.235,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.55.223.160,Vietnam,Vinh Yen,FPT Telecom Company
123.18.101.19,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
118.69.93.231,Vietnam,Ca Mau,FPT Telecom Company
183.80.20.115,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.23.4.145,Vietnam,Viet Tri,FPT Telecom Company
14.182.244.116,Vietnam,Viet Tri,Vietnam Posts and Telecommunications Group
59.153.242.234,Vietnam,Vinh,MOBIFONE Corporation
162.192.177.78,United States,DeBary,AT&T Corp.
58.187.162.152,Vietnam,Hanoi,FPT Telecom Company
14.236.176.151,Vietnam,Qui Nhon,Vietnam Posts and Telecommunications Group
14.226.127.61,Vietnam,Djong Ha,Vietnam Posts and Telecommunications Group
14.162.163.161,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.113.252.218,Vietnam,Lang Son,FPT Telecom Company
100.73.23.107,"","",""
1.55.227.143,Vietnam,Vinh Yen,FPT Telecom Company
42.114.20.101,Vietnam,Uyen Hung,FPT Telecom Company
42.113.186.129,Vietnam,Ho Chi Minh City,FPT Telecom Company
118.68.162.106,Vietnam,Da Nang,FPT Telecom Company
14.235.189.145,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
1.52.109.116,Vietnam,Thu Dau Mot,FPT Telecom Company
123.25.80.121,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
42.112.224.56,Vietnam,Sa Dec,FPT Telecom Company
42.114.168.62,Vietnam,Hanoi,FPT Telecom Company
98.207.76.56,United States,San Francisco,"Comcast Cable Communications, LLC"
14.228.179.218,Vietnam,Bim Son,Vietnam Posts and Telecommunications Group
58.187.54.97,Vietnam,Bac Ninh,FPT Telecom Company
171.247.143.182,Vietnam,Phu Khuong,Viettel Group
89.102.96.89,Czechia,Ostrava,"UPC Ceska Republica, s.r.o."
42.119.220.216,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.55.223.52,Vietnam,Vinh Yen,FPT Telecom Company
58.187.168.222,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.54.212.134,Vietnam,Hanoi,FPT Telecom Company
42.114.132.241,Vietnam,Hanoi,FPT Telecom Company
42.117.219.12,Vietnam,Hanoi,FPT Telecom Company
42.119.144.189,Vietnam,Long Xuyen,FPT Telecom Company
113.23.64.186,Vietnam,Haiphong,FPT Telecom Company
1.55.180.60,Vietnam,Da Nang,FPT Telecom Company
171.240.176.236,Vietnam,Ho Chi Minh City,Viettel Group
14.188.132.115,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
42.118.52.172,Vietnam,Bim Son,FPT Telecom Company
103.199.56.94,Vietnam,Ho Chi Minh City,MOBIFONE Corporation
118.71.192.249,Vietnam,Bac Ninh,FPT Telecom Company
14.235.45.74,Vietnam,Lao Cai,Vietnam Posts and Telecommunications Group
27.3.72.181,Vietnam,Hanoi,SaiGon Tourist Cable Television
42.112.203.169,Vietnam,Hanoi,FPT Telecom Company
14.165.248.194,Vietnam,An Nhon,Vietnam Posts and Telecommunications Group
42.116.116.247,Vietnam,Quang Ngai,FPT Telecom Company
1.55.153.168,Vietnam,Bac Ninh,FPT Telecom Company
42.113.21.72,Vietnam,Hanoi,FPT Telecom Company
1.54.20.14,Vietnam,Bien Hoa,FPT Telecom Company
171.224.40.226,Vietnam,Hai Duong,Viettel Group
42.114.39.94,Vietnam,Nam Dinh,FPT Telecom Company
1.54.212.194,Vietnam,Hanoi,FPT Telecom Company
42.114.38.116,Vietnam,Hai Duong,FPT Telecom Company
118.68.227.170,Vietnam,Ho Chi Minh City,FPT Telecom Company
71.244.137.12,United States,Ellicott City,Verizon Business
42.113.199.77,Vietnam,Hanoi,FPT Telecom Company
42.114.30.107,Vietnam,Haiphong,FPT Telecom Company
113.23.54.27,Vietnam,Ha Long,FPT Telecom Company
42.112.231.92,Vietnam,Nha Trang,FPT Telecom Company
1.52.125.33,Vietnam,Thanh Hoa,FPT Telecom Company
58.187.12.122,Vietnam,Bac Ninh,FPT Telecom Company
14.235.186.237,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.114.160.137,Vietnam,Hanoi,FPT Telecom Company
42.118.29.121,Vietnam,Bac Giang,FPT Telecom Company
14.167.181.212,Vietnam,Bim Son,Vietnam Posts and Telecommunications Group
58.187.164.78,Vietnam,Hanoi,FPT Telecom Company
183.80.166.195,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.112.238.147,Vietnam,Hanoi,FPT Telecom Company
113.23.98.196,Vietnam,Ho Chi Minh City,FPT Telecom Company
66.249.82.150,Australia,Sydney,Google LLC
116.102.65.247,Vietnam,Ho Chi Minh City,Viettel Group
113.22.199.103,Vietnam,Ho Chi Minh City,FPT Telecom Company
123.27.165.139,Vietnam,Hai Duong,Vietnam Posts and Telecommunications Group
14.244.239.143,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
103.199.57.26,Vietnam,Hanoi,MOBIFONE Corporation
183.80.22.193,Vietnam,Ho Chi Minh City,FPT Telecom Company
73.118.235.216,United States,Kent,"Comcast Cable Communications, LLC"
42.116.227.108,Vietnam,Hanoi,FPT Telecom Company
118.68.86.192,Vietnam,Hai Duong,FPT Telecom Company
42.113.45.169,Vietnam,Thai Binh,FPT Telecom Company
183.80.32.104,Vietnam,Hai An,FPT Telecom Company
42.115.169.166,Vietnam,Nha Trang,FPT Telecom Company
42.114.132.23,Vietnam,Hanoi,FPT Telecom Company
118.71.102.251,Vietnam,Hanoi,FPT Telecom Company
1.54.194.155,Vietnam,Thai Binh,FPT Telecom Company
42.113.252.183,Vietnam,Lang Son,FPT Telecom Company
183.81.75.242,Vietnam,Thai Binh,FPT Telecom Company
14.232.75.225,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
118.68.214.45,Vietnam,Hanoi,FPT Telecom Company
42.117.154.243,Vietnam,Phu Khuong,FPT Telecom Company
42.119.24.116,Vietnam,Hanoi,FPT Telecom Company
42.117.155.252,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.161.237.171,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
14.190.146.226,Vietnam,Bac Giang,Vietnam Posts and Telecommunications Group
42.114.38.209,Vietnam,Hai Duong,FPT Telecom Company
1.54.214.53,Vietnam,Thai Nguyen,FPT Telecom Company
42.113.160.251,Vietnam,Cao Lanh,FPT Telecom Company
58.187.161.44,Vietnam,Hai Duong,FPT Telecom Company
115.75.50.32,Vietnam,Hanoi,Viettel Group
113.181.215.42,Vietnam,Son La,Vietnam Posts and Telecommunications Group
14.162.6.199,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.114.39.238,Vietnam,Nam Dinh,FPT Telecom Company
123.18.105.227,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
14.242.31.40,Vietnam,Tra Vinh,Vietnam Posts and Telecommunications Group
103.7.39.145,Vietnam,Ho Chi Minh City,Vietnamobile Telecommunications Joint Stock Company
73.141.217.154,United States,Philadelphia,"Comcast Cable Communications, LLC"
173.252.79.1,United States,Menlo Park,"Facebook, Inc."
58.187.12.31,Vietnam,Bac Ninh,FPT Telecom Company
1.52.47.159,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.170.91.135,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.114.70.173,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.113.82.121,Vietnam,Hai Duong,FPT Telecom Company
42.112.237.186,Vietnam,Bac Ninh,FPT Telecom Company
42.115.142.61,Vietnam,Bien Hoa,FPT Telecom Company
14.249.121.181,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
58.187.21.35,Vietnam,Haiphong,FPT Telecom Company
103.7.39.147,Vietnam,Ho Chi Minh City,Vietnamobile Telecommunications Joint Stock Company
14.188.237.30,Vietnam,Ha Tinh,Vietnam Posts and Telecommunications Group
